Input Prompt,Target Response
value of 21/10?,21/10=2.1
value of 7+17?,7+17=24
" hey, what's17+4?",17+4=21
what's13x13?,13x13=169
What is 7-18?,7-18=-11
value of 5-17?,5-17=-12
what's20+9?,20+9=29
what's2+12?,2+12=14
What is 17/16?,17/16=1.0625
What is 19-19?,19-19=0
What is 17/2?,17/2=8.5
value of 13+4?,13+4=17
What is 3+13?,3+13=16
What is 3-15?,3-15=-12
what's16-16?,16-16=0
value of 11/9?,11/9=1.2222222222222223
" hey, what's5-15?",5-15=-10
what's7+17?,7+17=24
value of 14-2?,14-2=12
what's21/6?,21/6=3.5
What is 12+15?,12+15=27
What is 9-1?,9-1=8
what's8-20?,8-20=-12
What is 12+1?,12+1=13
What is 8-6?,8-6=2
what's4+4?,4+4=8
What is 5-16?,5-16=-11
" hey, what's11/16?",11/16=0.6875
value of 11+15?,11+15=26
" hey, what's18/1?",18/1=18.0
value of 14+16?,14+16=30
what's16x20?,16x20=320
what's6+15?,6+15=21
what's21-12?,21-12=9
what's9x3?,9x3=27
What is 2+20?,2+20=22
what's21+12?,21+12=33
What is 1-3?,1-3=-2
what's8-10?,8-10=-2
what's3-13?,3-13=-10
What is 21x4?,21x4=84
value of 19+10?,19+10=29
" hey, what's11/2?",11/2=5.5
what's9x12?,9x12=108
" hey, what's4/7?",4/7=0.5714285714285714
" hey, what's19+7?",19+7=26
value of 21/14?,21/14=1.5
value of 20/18?,20/18=1.1111111111111112
what's7-2?,7-2=5
value of 17/11?,17/11=1.5454545454545454
What is 13/14?,13/14=0.9285714285714286
what's9+6?,9+6=15
value of 4/8?,4/8=0.5
What is 19x1?,19x1=19
What is 21x9?,21x9=189
what's15x16?,15x16=240
" hey, what's20x14?",20x14=280
what's21-2?,21-2=19
What is 8/6?,8/6=1.3333333333333333
value of 17+18?,17+18=35
value of 7x7?,7x7=49
what's7/17?,7/17=0.4117647058823529
what's1+13?,1+13=14
What is 10+14?,10+14=24
What is 4/17?,4/17=0.23529411764705882
what's19+11?,19+11=30
value of 9+12?,9+12=21
value of 13x18?,13x18=234
" hey, what's12x8?",12x8=96
value of 19x14?,19x14=266
What is 2/4?,2/4=0.5
" hey, what's10+6?",10+6=16
" hey, what's19/19?",19/19=1.0
value of 7/14?,7/14=0.5
value of 21x11?,21x11=231
value of 1+2?,1+2=3
" hey, what's15x8?",15x8=120
value of 1-1?,1-1=0
" hey, what's17x6?",17x6=102
" hey, what's10x1?",10x1=10
what's1/7?,1/7=0.14285714285714285
value of 5/18?,5/18=0.2777777777777778
" hey, what's20+13?",20+13=33
" hey, what's8+5?",8+5=13
" hey, what's6x10?",6x10=60
value of 16+14?,16+14=30
value of 2-20?,2-20=-18
What is 17/14?,17/14=1.2142857142857142
value of 20+18?,20+18=38
What is 3+11?,3+11=14
What is 2x18?,2x18=36
What is 10+5?,10+5=15
what's2/19?,2/19=0.10526315789473684
value of 2-10?,2-10=-8
" hey, what's4+20?",4+20=24
" hey, what's3-17?",3-17=-14
what's11-4?,11-4=7
value of 14x2?,14x2=28
What is 10x9?,10x9=90
what's13/19?,13/19=0.6842105263157895
" hey, what's2+20?",2+20=22
what's21+17?,21+17=38
value of 9-10?,9-10=-1
what's5+1?,5+1=6
What is 19-7?,19-7=12
what's6/12?,6/12=0.5
value of 6/3?,6/3=2.0
What is 4+18?,4+18=22
value of 1x18?,1x18=18
what's8x19?,8x19=152
what's3+20?,3+20=23
what's15-6?,15-6=9
value of 17x18?,17x18=306
what's16-12?,16-12=4
value of 15/7?,15/7=2.142857142857143
value of 4+15?,4+15=19
value of 5-12?,5-12=-7
" hey, what's7+19?",7+19=26
" hey, what's18x16?",18x16=288
value of 8/7?,8/7=1.1428571428571428
what's21x20?,21x20=420
what's20x15?,20x15=300
" hey, what's18x19?",18x19=342
value of 1x17?,1x17=17
" hey, what's13/16?",13/16=0.8125
What is 7/6?,7/6=1.1666666666666667
value of 5+18?,5+18=23
value of 18x15?,18x15=270
What is 16x9?,16x9=144
What is 18+2?,18+2=20
What is 1x16?,1x16=16
value of 5/12?,5/12=0.4166666666666667
" hey, what's20x11?",20x11=220
value of 3/2?,3/2=1.5
what's3/2?,3/2=1.5
What is 14/20?,14/20=0.7
What is 7x13?,7x13=91
value of 20x6?,20x6=120
what's10x12?,10x12=120
What is 14x15?,14x15=210
what's17+11?,17+11=28
What is 19/12?,19/12=1.5833333333333333
what's21x1?,21x1=21
What is 3-4?,3-4=-1
value of 19-8?,19-8=11
" hey, what's3x14?",3x14=42
what's1+16?,1+16=17
What is 9-17?,9-17=-8
" hey, what's6x1?",6x1=6
" hey, what's11x17?",11x17=187
what's4/10?,4/10=0.4
What is 18x15?,18x15=270
" hey, what's7-10?",7-10=-3
value of 19-7?,19-7=12
" hey, what's6/1?",6/1=6.0
what's17/15?,17/15=1.1333333333333333
" hey, what's6+19?",6+19=25
" hey, what's18x12?",18x12=216
value of 4x9?,4x9=36
what's18-14?,18-14=4
What is 10-14?,10-14=-4
what's21-4?,21-4=17
value of 13x1?,13x1=13
What is 12-11?,12-11=1
What is 15-16?,15-16=-1
what's3/8?,3/8=0.375
what's4x10?,4x10=40
" hey, what's14-13?",14-13=1
what's13x3?,13x3=39
What is 10x10?,10x10=100
What is 9/4?,9/4=2.25
What is 1+13?,1+13=14
what's2+11?,2+11=13
What is 10/7?,10/7=1.4285714285714286
" hey, what's6+18?",6+18=24
value of 7-15?,7-15=-8
" hey, what's1/11?",1/11=0.09090909090909091
what's11-9?,11-9=2
What is 5+12?,5+12=17
value of 6+11?,6+11=17
value of 7x11?,7x11=77
What is 14-13?,14-13=1
what's6/6?,6/6=1.0
" hey, what's11x5?",11x5=55
value of 1+3?,1+3=4
value of 16-20?,16-20=-4
" hey, what's3x9?",3x9=27
value of 8-3?,8-3=5
What is 15+7?,15+7=22
value of 12+19?,12+19=31
What is 8/10?,8/10=0.8
" hey, what's7+13?",7+13=20
what's19x20?,19x20=380
what's2x4?,2x4=8
What is 14/16?,14/16=0.875
value of 12-18?,12-18=-6
" hey, what's9/19?",9/19=0.47368421052631576
What is 2/8?,2/8=0.25
value of 1+5?,1+5=6
What is 17x11?,17x11=187
What is 12-8?,12-8=4
what's1x20?,1x20=20
value of 4+3?,4+3=7
" hey, what's18-4?",18-4=14
what's10-17?,10-17=-7
value of 9x2?,9x2=18
" hey, what's7+6?",7+6=13
What is 10-3?,10-3=7
What is 12/2?,12/2=6.0
what's9x5?,9x5=45
" hey, what's3/5?",3/5=0.6
" hey, what's2x18?",2x18=36
What is 8+19?,8+19=27
what's2+19?,2+19=21
What is 7/19?,7/19=0.3684210526315789
value of 10-20?,10-20=-10
value of 11/6?,11/6=1.8333333333333333
value of 5x6?,5x6=30
What is 12+19?,12+19=31
What is 5+7?,5+7=12
" hey, what's5/1?",5/1=5.0
" hey, what's11-2?",11-2=9
What is 13+16?,13+16=29
What is 16/10?,16/10=1.6
what's15x7?,15x7=105
" hey, what's14+3?",14+3=17
What is 2x16?,2x16=32
" hey, what's14x19?",14x19=266
What is 14-12?,14-12=2
What is 19x12?,19x12=228
" hey, what's9+9?",9+9=18
value of 8-11?,8-11=-3
what's5x19?,5x19=95
what's3/14?,3/14=0.21428571428571427
value of 20/1?,20/1=20.0
What is 18+19?,18+19=37
value of 21x9?,21x9=189
what's3-6?,3-6=-3
value of 10+13?,10+13=23
what's1+19?,1+19=20
" hey, what's16+3?",16+3=19
value of 15x6?,15x6=90
" hey, what's7/12?",7/12=0.5833333333333334
what's11+13?,11+13=24
what's6/15?,6/15=0.4
value of 3+7?,3+7=10
value of 18-7?,18-7=11
What is 16+13?,16+13=29
" hey, what's19x17?",19x17=323
What is 12x14?,12x14=168
what's12-5?,12-5=7
" hey, what's1/14?",1/14=0.07142857142857142
what's18+19?,18+19=37
value of 3-5?,3-5=-2
value of 8x4?,8x4=32
what's5/9?,5/9=0.5555555555555556
What is 8/14?,8/14=0.5714285714285714
" hey, what's14+14?",14+14=28
What is 10x18?,10x18=180
" hey, what's13x2?",13x2=26
value of 8/13?,8/13=0.6153846153846154
value of 17/13?,17/13=1.3076923076923077
" hey, what's8/1?",8/1=8.0
what's1x15?,1x15=15
value of 12x8?,12x8=96
What is 21/15?,21/15=1.4
what's17x10?,17x10=170
What is 6-10?,6-10=-4
value of 9+11?,9+11=20
value of 7-19?,7-19=-12
What is 14-5?,14-5=9
What is 12+12?,12+12=24
" hey, what's3+12?",3+12=15
What is 7/12?,7/12=0.5833333333333334
what's15/19?,15/19=0.7894736842105263
what's11-17?,11-17=-6
What is 19+16?,19+16=35
what's17/6?,17/6=2.8333333333333335
" hey, what's19/8?",19/8=2.375
" hey, what's3x19?",3x19=57
what's8/15?,8/15=0.5333333333333333
" hey, what's20/19?",20/19=1.0526315789473684
value of 5x3?,5x3=15
" hey, what's15+6?",15+6=21
value of 21x3?,21x3=63
value of 10-13?,10-13=-3
" hey, what's17/19?",17/19=0.8947368421052632
what's20x12?,20x12=240
" hey, what's11+19?",11+19=30
" hey, what's19x10?",19x10=190
" hey, what's6x8?",6x8=48
what's11+16?,11+16=27
" hey, what's14x7?",14x7=98
value of 15x9?,15x9=135
What is 15-20?,15-20=-5
What is 20/7?,20/7=2.857142857142857
what's10/16?,10/16=0.625
What is 15+5?,15+5=20
What is 12-1?,12-1=11
what's9-2?,9-2=7
what's6+14?,6+14=20
What is 17-8?,17-8=9
value of 11+4?,11+4=15
" hey, what's5-11?",5-11=-6
what's1x11?,1x11=11
" hey, what's21/20?",21/20=1.05
value of 1-5?,1-5=-4
what's1/16?,1/16=0.0625
" hey, what's1x3?",1x3=3
value of 12x10?,12x10=120
what's21x14?,21x14=294
what's4+19?,4+19=23
what's16/12?,16/12=1.3333333333333333
What is 1+16?,1+16=17
What is 20x14?,20x14=280
what's10+12?,10+12=22
What is 8/17?,8/17=0.47058823529411764
what's20x5?,20x5=100
" hey, what's18x4?",18x4=72
What is 7-15?,7-15=-8
" hey, what's1-16?",1-16=-15
what's5x16?,5x16=80
what's21/9?,21/9=2.3333333333333335
value of 3+15?,3+15=18
value of 9/17?,9/17=0.5294117647058824
what's17x1?,17x1=17
what's10x2?,10x2=20
What is 13+20?,13+20=33
" hey, what's18+15?",18+15=33
What is 9/15?,9/15=0.6
What is 6+7?,6+7=13
What is 4-7?,4-7=-3
value of 16+5?,16+5=21
value of 11+14?,11+14=25
what's21/8?,21/8=2.625
value of 21-13?,21-13=8
" hey, what's6-18?",6-18=-12
value of 1+13?,1+13=14
value of 15x3?,15x3=45
what's14x15?,14x15=210
value of 11+11?,11+11=22
what's11+2?,11+2=13
" hey, what's4-20?",4-20=-16
" hey, what's20/20?",20/20=1.0
value of 19x12?,19x12=228
value of 10/2?,10/2=5.0
what's17+4?,17+4=21
what's19/8?,19/8=2.375
value of 4/15?,4/15=0.26666666666666666
" hey, what's4/5?",4/5=0.8
what's6-4?,6-4=2
" hey, what's7-4?",7-4=3
value of 2/20?,2/20=0.1
value of 9x4?,9x4=36
What is 3-5?,3-5=-2
" hey, what's8+1?",8+1=9
value of 1/20?,1/20=0.05
What is 12x17?,12x17=204
what's20x17?,20x17=340
what's3+9?,3+9=12
value of 15-8?,15-8=7
" hey, what's14/7?",14/7=2.0
" hey, what's21/1?",21/1=21.0
value of 20-7?,20-7=13
value of 9x14?,9x14=126
" hey, what's18-6?",18-6=12
" hey, what's13x4?",13x4=52
what's11x4?,11x4=44
What is 8-4?,8-4=4
What is 8+18?,8+18=26
what's15x11?,15x11=165
What is 19/7?,19/7=2.7142857142857144
value of 20/5?,20/5=4.0
what's7/13?,7/13=0.5384615384615384
What is 2/1?,2/1=2.0
what's16+4?,16+4=20
What is 9+12?,9+12=21
" hey, what's4-14?",4-14=-10
what's7x16?,7x16=112
value of 12x11?,12x11=132
" hey, what's20+1?",20+1=21
" hey, what's3-8?",3-8=-5
What is 12x6?,12x6=72
What is 19+6?,19+6=25
value of 20x13?,20x13=260
What is 17/15?,17/15=1.1333333333333333
" hey, what's3x16?",3x16=48
" hey, what's5+7?",5+7=12
what's1-13?,1-13=-12
value of 18x11?,18x11=198
" hey, what's14/11?",14/11=1.2727272727272727
" hey, what's4/6?",4/6=0.6666666666666666
what's13-2?,13-2=11
What is 1/14?,1/14=0.07142857142857142
value of 18x13?,18x13=234
value of 13-15?,13-15=-2
What is 5/18?,5/18=0.2777777777777778
" hey, what's14/14?",14/14=1.0
What is 2/10?,2/10=0.2
value of 13x5?,13x5=65
" hey, what's1+9?",1+9=10
" hey, what's20x5?",20x5=100
what's19/19?,19/19=1.0
What is 3-2?,3-2=1
What is 18+12?,18+12=30
value of 13-19?,13-19=-6
" hey, what's5+8?",5+8=13
what's19x8?,19x8=152
" hey, what's10-8?",10-8=2
" hey, what's15+10?",15+10=25
What is 2x9?,2x9=18
what's15+5?,15+5=20
value of 4x4?,4x4=16
What is 10-15?,10-15=-5
value of 16+10?,16+10=26
What is 17+6?,17+6=23
" hey, what's4-15?",4-15=-11
What is 11x20?,11x20=220
value of 15/3?,15/3=5.0
what's13x12?,13x12=156
what's10-18?,10-18=-8
what's11/9?,11/9=1.2222222222222223
" hey, what's12/10?",12/10=1.2
value of 21x10?,21x10=210
What is 8/4?,8/4=2.0
What is 14-8?,14-8=6
what's7-5?,7-5=2
what's17-13?,17-13=4
what's5x5?,5x5=25
What is 11/6?,11/6=1.8333333333333333
What is 5-4?,5-4=1
" hey, what's21+15?",21+15=36
What is 8+3?,8+3=11
value of 3-8?,3-8=-5
value of 20x8?,20x8=160
" hey, what's9-16?",9-16=-7
what's6+12?,6+12=18
what's12x11?,12x11=132
What is 5+15?,5+15=20
" hey, what's8x9?",8x9=72
value of 20/17?,20/17=1.1764705882352942
" hey, what's7/10?",7/10=0.7
What is 6+15?,6+15=21
What is 13x14?,13x14=182
What is 17x9?,17x9=153
" hey, what's8/20?",8/20=0.4
what's4x17?,4x17=68
what's11x1?,11x1=11
value of 18/13?,18/13=1.3846153846153846
what's21-15?,21-15=6
What is 1x8?,1x8=8
value of 10-18?,10-18=-8
value of 14x17?,14x17=238
what's20-8?,20-8=12
what's8+16?,8+16=24
what's2/18?,2/18=0.1111111111111111
what's20-19?,20-19=1
what's14x20?,14x20=280
" hey, what's15+5?",15+5=20
what's16+9?,16+9=25
what's14+4?,14+4=18
what's17+6?,17+6=23
value of 5+13?,5+13=18
What is 20/12?,20/12=1.6666666666666667
What is 7x20?,7x20=140
What is 1/5?,1/5=0.2
" hey, what's6-15?",6-15=-9
What is 2-20?,2-20=-18
value of 17-2?,17-2=15
value of 19-18?,19-18=1
What is 7/8?,7/8=0.875
" hey, what's3x12?",3x12=36
What is 9/7?,9/7=1.2857142857142858
value of 10x3?,10x3=30
" hey, what's5/18?",5/18=0.2777777777777778
value of 15/11?,15/11=1.3636363636363635
" hey, what's5+13?",5+13=18
" hey, what's15-2?",15-2=13
" hey, what's2x8?",2x8=16
what's4+2?,4+2=6
" hey, what's17x17?",17x17=289
value of 10/19?,10/19=0.5263157894736842
value of 7+19?,7+19=26
value of 3+13?,3+13=16
value of 19/13?,19/13=1.4615384615384615
what's7x7?,7x7=49
What is 1/1?,1/1=1.0
What is 6-11?,6-11=-5
value of 19x4?,19x4=76
value of 7/6?,7/6=1.1666666666666667
what's2+16?,2+16=18
what's9-18?,9-18=-9
What is 10-11?,10-11=-1
What is 18x9?,18x9=162
" hey, what's8-18?",8-18=-10
what's18+14?,18+14=32
what's1+6?,1+6=7
what's6+8?,6+8=14
what's7-17?,7-17=-10
" hey, what's18+4?",18+4=22
value of 19+4?,19+4=23
value of 6+2?,6+2=8
What is 18/16?,18/16=1.125
What is 20-2?,20-2=18
" hey, what's17+13?",17+13=30
" hey, what's19/10?",19/10=1.9
